"filename", "language", "C#", "JSON", "Markdown", "UnityShader", "YAML", "XML", "Log", "comment", "blank", "total"
"d:\CNG491ERG\EndlessRunnerGame\Assets\Training\results\ppo\Boss\checkpoint.pt", "XML", 0, 0, 0, 0, 0, 14958, 0, 0, 64, 15022
"d:\CNG491ERG\EndlessRunnerGame\Assets\Training\results\ppo\configuration.yaml", "YAML", 0, 0, 0, 0, 78, 0, 0, 0, 1, 79
"d:\CNG491ERG\EndlessRunnerGame\Assets\Training\results\ppo\run_logs\timers.json", "JSON", 0, 335, 0, 0, 0, 0, 0, 0, 0, 335
"d:\CNG491ERG\EndlessRunnerGame\Assets\Training\results\ppo\run_logs\training_status.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 0, 0, 38
"d:\CNG491ERG\EndlessRunnerGame\Packages\manifest.json", "JSON", 0, 45, 0, 0, 0, 0, 0, 0, 1, 46
"d:\CNG491ERG\EndlessRunnerGame\Packages\packages-lock.json", "JSON", 0, 501, 0, 0, 0, 0, 0, 0, 1, 502
"d:\CNG491ERG\EndlessRunnerGame\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\Boss.yaml", "YAML", 0, 0, 0, 0, 29, 0, 0, 0, 0, 29
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-0.pt", "XML", 0, 0, 0, 0, 0, 5235, 0, 0, 17, 5252
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-132259.pt", "XML", 0, 0, 0, 0, 0, 4899, 0, 0, 25, 4924
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-199699.pt", "XML", 0, 0, 0, 0, 0, 5019, 0, 0, 24, 5043
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-199859.pt", "XML", 0, 0, 0, 0, 0, 5009, 0, 0, 13, 5022
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-199890.pt", "XML", 0, 0, 0, 0, 0, 5174, 0, 0, 22, 5196
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-199906.pt", "XML", 0, 0, 0, 0, 0, 5153, 0, 0, 31, 5184
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-199992.pt", "XML", 0, 0, 0, 0, 0, 5048, 0, 0, 18, 5066
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-21446.pt", "XML", 0, 0, 0, 0, 0, 5000, 0, 0, 28, 5028
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-238478.pt", "XML", 0, 0, 0, 0, 0, 5174, 0, 0, 22, 5196
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-260154.pt", "XML", 0, 0, 0, 0, 0, 15385, 0, 0, 59, 15444
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-260331.pt", "XML", 0, 0, 0, 0, 0, 14877, 0, 0, 63, 14940
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-27685.pt", "XML", 0, 0, 0, 0, 0, 5032, 0, 0, 24, 5056
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-299904.pt", "XML", 0, 0, 0, 0, 0, 14807, 0, 0, 79, 14886
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-31388.pt", "XML", 0, 0, 0, 0, 0, 4967, 0, 0, 22, 4989
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-399790.pt", "XML", 0, 0, 0, 0, 0, 14805, 0, 0, 79, 14884
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-41033.pt", "XML", 0, 0, 0, 0, 0, 5039, 0, 0, 19, 5058
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-469520.pt", "XML", 0, 0, 0, 0, 0, 14805, 0, 0, 79, 14884
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-499970.pt", "XML", 0, 0, 0, 0, 0, 4980, 0, 0, 13, 4993
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-500034.pt", "XML", 0, 0, 0, 0, 0, 4980, 0, 0, 13, 4993
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-5760.pt", "XML", 0, 0, 0, 0, 0, 1759, 0, 0, 5, 1764
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-61928.pt", "XML", 0, 0, 0, 0, 0, 5060, 0, 0, 24, 5084
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-67853.pt", "XML", 0, 0, 0, 0, 0, 5112, 0, 0, 19, 5131
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-68189.pt", "XML", 0, 0, 0, 0, 0, 4957, 0, 0, 22, 4979
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-79239.pt", "XML", 0, 0, 0, 0, 0, 5076, 0, 0, 18, 5094
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-88417.pt", "XML", 0, 0, 0, 0, 0, 5087, 0, 0, 26, 5113
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-99775.pt", "XML", 0, 0, 0, 0, 0, 4900, 0, 0, 25, 4925
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-99919.pt", "XML", 0, 0, 0, 0, 0, 5008, 0, 0, 13, 5021
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-99964.pt", "XML", 0, 0, 0, 0, 0, 5046, 0, 0, 18, 5064
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-99972.pt", "XML", 0, 0, 0, 0, 0, 5018, 0, 0, 24, 5042
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-99979.pt", "XML", 0, 0, 0, 0, 0, 5152, 0, 0, 31, 5183
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\Boss-99999.pt", "XML", 0, 0, 0, 0, 0, 5173, 0, 0, 22, 5195
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\Boss\checkpoint.pt", "XML", 0, 0, 0, 0, 0, 5008, 0, 0, 13, 5021
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\configuration.yaml", "YAML", 0, 0, 0, 0, 79, 0, 0, 0, 1, 80
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\run_logs\Player-0.log", "Log", 0, 0, 0, 0, 0, 0, 278630, 0, 4, 278634
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\run_logs\timers.json", "JSON", 0, 335, 0, 0, 0, 0, 0, 0, 0, 335
"d:\CNG491ERG\EndlessRunnerGame\trainingYML\results\ppo\run_logs\training_status.json", "JSON", 0, 65, 0, 0, 0, 0, 0, 0, 0, 65
"Total", "-", 2566, 1478, 2, 2338, 237, 252691, 278630, 920, 2214, 541076
