"filename", "language", "XML", "JSON", "Markdown", "YAML", "HTML", "JavaScript", "CSS", "C#", "UnityShader", "UnityAssemblyDefinition", "comment", "blank", "total"
"d:\CNG491ERG\EndlessRunnerGame\Assets\DestroyOnAnimationComplete.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 1, 10
"d:\CNG491ERG\EndlessRunnerGame\Assets\GoBackToMainMenu.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"d:\CNG491ERG\EndlessRunnerGame\Assets\Leaderboard.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 2, 8, 86
"d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\BossMode_timers.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\GameScene_timers.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\InitTestScene638482843729007197_timers.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\InitTestScene638482844635009260_timers.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\InitTestScene638482848068427307_timers.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\InitTestScene638482848538494248_timers.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\InitTestScene638482849104412390_timers.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\InitTestScene638482850557399440_timers.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\InitTestScene638482853138672285_timers.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\InitTestScene638485027970455592_timers.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\InitTestScene638485030476244930_timers.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\Main Menu_timers.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\MainMenu_timers.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\ParkourMode_timers.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\Parkour_timers.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\ReplayScene_timers.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\SampleScene_timers.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\TestingScene_BossAndPlayerAgent_timers.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\TrainingScene_BossAgentOnly_timers.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\TrainingScene_BossAndPlayerAgent_timers.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\TrainingScene_timers.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CNG491ERG\EndlessRunnerGame\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleAudio.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 80, 25, 199
"d:\CNG491ERG\EndlessRunnerGame\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleEPOOutline.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 18, 20, 147
"d:\CNG491ERG\EndlessRunnerGame\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModulePhysics.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 137, 0, 0, 60, 20, 217
"d:\CNG491ERG\EndlessRunnerGame\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModulePhysics2D.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 51, 18, 194
"d:\CNG491ERG\EndlessRunnerGame\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleSprite.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 17, 14, 94
"d:\CNG491ERG\EndlessRunnerGame\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUI.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 390, 0, 0, 203, 70, 663
"d:\CNG491ERG\EndlessRunnerGame\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUnityVersion.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 254, 0, 0, 99, 37, 390
"d:\CNG491ERG\EndlessRunnerGame\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUtils.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 27, 18, 168
"d:\CNG491ERG\EndlessRunnerGame\Assets\RemainingParkourUI.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 5, 7, 35
"d:\CNG491ERG\EndlessRunnerGame\Assets\RetryMode.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"d:\CNG491ERG\EndlessRunnerGame\Assets\ScoreUI.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\API\.idea\.idea.API.dir\.idea\indexLayout.xml", "XML", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\API\.idea\.idea.API.dir\.idea\inspectionProfiles\Project_Default.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\API\.idea\.idea.API.dir\.idea\vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\API\AIBERG.API.asmdef", "UnityAssemblyDefinition", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 18
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\API\DialogWindow.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\API\InputRecorder.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 10, 75
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\API\LoginController.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 5, 11, 100
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\API\RegisterController.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 5, 8, 110
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\API\StatCollector.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 5, 14, 111
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\API\UserInformation.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 1, 18, 142
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\BossAbilities\AIBERG.BossAbilities.asmdef", "UnityAssemblyDefinition", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 18
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\BossAbilities\AttackDrone.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 15, 107
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\BossAbilities\BasicAttack.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 1, 11, 71
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\BossAbilities\MoveDown.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 8, 52
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\BossAbilities\MoveUp.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 8, 53
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\BossAbilities\SpawnAttackDrones.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 15, 115
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\BossMode\BossModeBaseState.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 9
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\BossMode\BossModeBossFightState.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 9, 58
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\BossMode\BossModeDeathState.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 6, 82
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\BossMode\BossModeGameOverState.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 8, 92
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\BossMode\BossModeInitialState.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 3, 61
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\BossMode\BossModeStateManager.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 4, 45
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\.idea\.idea.Core.dir\.idea\indexLayout.xml", "XML", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\.idea\.idea.Core.dir\.idea\projectSettingsUpdater.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\.idea\.idea.Core.dir\.idea\vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\.idea\.idea.Core.dir\.idea\workspace.xml", "XML", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\AIBERG.Core.asmdef", "UnityAssemblyDefinition", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 19
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\Boss.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 13, 101
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\BossAgent.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 1, 18, 127
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\DamagingProjectile.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 1, 6, 49
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\Despawner.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\GameEnvironment.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 19, 158
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\InputHandlers\InputHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\InputHandlers\InputReplayer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 2, 8, 72
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\InputHandlers\PlayerAutoInputHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 218, 0, 0, 35, 30, 283
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\InputHandlers\PlayerInputHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 18
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\InputHandlers\RandomInputHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\InputHandlers\ReplayManager.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 2, 12, 108
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\InputHandlers\StoopidInputHandler.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 2, 7, 38
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\ParallaxController.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 4, 8, 55
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\Player.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 17, 156
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\PlayerAgent.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 16, 118
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\ScoreCounter.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 4, 29
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\TestMatchManager.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 1, 7, 62
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Factions\The Order of the Flesh\AIBERG.Factions.TheOrderOfTheFlesh.asmdef", "UnityAssemblyDefinition", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 18
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Factions\The Order of the Flesh\AssaultRifle.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 1, 14, 97
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Factions\The Order of the Flesh\Jump.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 8, 70
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Factions\The Order of the Flesh\LastResort.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 1, 11, 94
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Factions\The Order of the Flesh\MachineGun.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 1, 9, 105
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Interfaces\AIBERG.Interfaces.asmdef", "UnityAssemblyDefinition", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 14
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Interfaces\IAbility.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 5, 28
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Interfaces\IAttackAbility.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 9
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Interfaces\IDamageable.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 4, 37
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\ParkourMode\Obstacle.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 3, 28
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\ParkourMode\ObstacleSpawner.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 3, 13, 95
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\ParkourMode\StateMachine\BaseState.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\ParkourMode\StateMachine\BossFightState.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 7, 41
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\ParkourMode\StateMachine\BossFightToParkourState.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 7, 53
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\ParkourMode\StateMachine\GameOverState.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 5, 81
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\ParkourMode\StateMachine\GameStateMachineScript.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 1, 6, 53
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\ParkourMode\StateMachine\InitialState.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 3, 49
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\ParkourMode\StateMachine\ParkourState.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 5, 49
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\ParkourMode\StateMachine\ParkourToBossFightState.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 4, 59
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\ScriptableObjects\AIBERG.ScriptableObjects.asmdef", "UnityAssemblyDefinition", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\ScriptableObjects\BossAbilitiesSO.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 4, 17
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\ScriptableObjects\FactionSO.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\UI\AIBERG.UI.asmdef", "UnityAssemblyDefinition", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 19
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\UI\GreetUser.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 21
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\UI\HealthUIManager.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\UI\LevelLoader.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 8, 9, 68
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\UI\MenuManager.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 5, 11, 76
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\UI\ShowUsername.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 3, 25
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\UI\StepCounter.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\UI\TextManager.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Utilities\AIBERG.Utilities.asmdef", "UnityAssemblyDefinition", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Utilities\ComponentFinder.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 19, 14, 92
"d:\CNG491ERG\EndlessRunnerGame\Assets\Tests\EditModeTests\DamagingProjectileTests.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 8, 35
"d:\CNG491ERG\EndlessRunnerGame\Assets\Tests\EditModeTests\EditModeTests.asmdef", "UnityAssemblyDefinition", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 26
"d:\CNG491ERG\EndlessRunnerGame\Assets\Tests\PlayModeTests\BossTesting.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 23
"d:\CNG491ERG\EndlessRunnerGame\Assets\Tests\PlayModeTests\LoginControllerTests.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 20, 69
"d:\CNG491ERG\EndlessRunnerGame\Assets\Tests\PlayModeTests\PlayModeTests.asmdef", "UnityAssemblyDefinition", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 30
"d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader", "UnityShader", 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 2, 33, 144
"d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader", "UnityShader", 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 3, 31, 146
"d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader", "UnityShader", 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 2, 33, 144
"d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader", "UnityShader", 0, 0, 0, 0, 0, 0, 0, 0, 243, 0, 4, 71, 318
"d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader", "UnityShader", 0, 0, 0, 0, 0, 0, 0, 0, 241, 0, 4, 66, 311
"d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader", "UnityShader", 0, 0, 0, 0, 0, 0, 0, 0, 188, 0, 10, 50, 248
"d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader", "UnityShader", 0, 0, 0, 0, 0, 0, 0, 0, 183, 0, 8, 50, 241
"d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader", "UnityShader", 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 4, 21, 107
"d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader", "UnityShader", 0, 0, 0, 0, 0, 0, 0, 0, 183, 0, 8, 50, 241
"d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader", "UnityShader", 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 8, 28, 139
"d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader", "UnityShader", 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 4, 33, 159
"d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMP_SDF.shader", "UnityShader", 0, 0, 0, 0, 0, 0, 0, 0, 243, 0, 4, 71, 318
"d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader", "UnityShader", 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 20, 117
"d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMPro.cginc", "UnityShader", 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 2, 20, 85
