Date : 2024-05-25 16:28:42
Directory : d:\CNG491ERG\EndlessRunnerGame
Total : 332 files,  937031 codes, 798 comments, 6248 blanks, all 944077 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| Assets\Scripts\Core                                                                                                                     |         22 |      1,336 |         48 |        176 |      1,560 |
| Assets\Scripts\Core (Files)                                                                                                             |         11 |        777 |          7 |        112 |        896 |
| Assets\Scripts\Core\.idea                                                                                                               |          4 |        107 |          0 |          0 |        107 |
| Assets\Scripts\Core\.idea\.idea.Core.dir                                                                                                |          4 |        107 |          0 |          0 |        107 |
| Assets\Scripts\Core\.idea\.idea.Core.dir\.idea                                                                                          |          4 |        107 |          0 |          0 |        107 |
| Assets\Scripts\Core\InputHandlers                                                                                                       |          7 |        452 |         41 |         64 |        557 |
| Assets\Scripts\Factions                                                                                                                 |          5 |        339 |          3 |         42 |        384 |
| Assets\Scripts\Factions\The Order of the Flesh                                                                                          |          5 |        339 |          3 |         42 |        384 |
| Assets\Scripts\Interfaces                                                                                                               |          4 |         77 |          0 |         11 |         88 |
| Assets\Scripts\ParkourMode                                                                                                              |         10 |        462 |          4 |         55 |        521 |
| Assets\Scripts\ParkourMode (Files)                                                                                                      |          2 |        104 |          3 |         16 |        123 |
| Assets\Scripts\ParkourMode\StateMachine                                                                                                 |          8 |        358 |          1 |         39 |        398 |
| Assets\Scripts\ScriptableObjects                                                                                                        |          3 |         35 |          0 |         11 |         46 |
| Assets\Scripts\UI                                                                                                                       |          8 |        209 |         13 |         34 |        256 |
| Assets\Scripts\Utilities                                                                                                                |          2 |         63 |         19 |         14 |         96 |
| Assets\Tests                                                                                                                            |          5 |        154 |          0 |         29 |        183 |
| Assets\Tests\EditModeTests                                                                                                              |          2 |         53 |          0 |          8 |         61 |
| Assets\Tests\PlayModeTests                                                                                                              |          3 |        101 |          0 |         21 |        122 |
| Assets\TextMesh Pro                                                                                                                     |         18 |      2,493 |         82 |        646 |      3,221 |
| Assets\TextMesh Pro\Shaders                                                                                                             |         17 |      2,338 |         82 |        644 |      3,064 |
| Assets\TextMesh Pro\Sprites                                                                                                             |          1 |        155 |          0 |          2 |        157 |
| Assets\Training                                                                                                                         |          8 |     45,449 |          0 |        193 |     45,642 |
| Assets\Training (Files)                                                                                                                 |          2 |         51 |          0 |          1 |         52 |
| Assets\Training\results                                                                                                                 |          6 |     45,398 |          0 |        192 |     45,590 |
| Assets\Training\results\ppo                                                                                                             |          6 |     45,398 |          0 |        192 |     45,590 |
| Assets\Training\results\ppo (Files)                                                                                                     |          1 |         78 |          0 |          1 |         79 |
| Assets\Training\results\ppo\Boss                                                                                                        |          3 |     44,947 |          0 |        191 |     45,138 |
| Assets\Training\results\ppo\run_logs                                                                                                    |          2 |        373 |          0 |          0 |        373 |
| CodeCoverage                                                                                                                            |        116 |     20,320 |         26 |        413 |     20,759 |
| CodeCoverage\EndlessRunnerGame-opencov                                                                                                  |          6 |     12,656 |          0 |          0 |     12,656 |
| CodeCoverage\EndlessRunnerGame-opencov\EditMode                                                                                         |          2 |      3,552 |          0 |          0 |      3,552 |
| CodeCoverage\EndlessRunnerGame-opencov\PlayMode                                                                                         |          2 |      5,524 |          0 |          0 |      5,524 |
| CodeCoverage\EndlessRunnerGame-opencov\Recording                                                                                        |          2 |      3,580 |          0 |          0 |      3,580 |
| CodeCoverage\Report                                                                                                                     |         78 |      6,604 |         26 |        413 |      7,043 |
| CodeCoverage\Report-history                                                                                                             |         32 |      1,060 |          0 |          0 |      1,060 |
| Packages                                                                                                                                |          2 |        564 |          0 |          2 |        566 |
| TrainingResults                                                                                                                         |         30 |    268,238 |          0 |      1,045 |    269,283 |
| TrainingResults\results                                                                                                                 |         30 |    268,238 |          0 |      1,045 |    269,283 |
| TrainingResults\results\AutoInputHandler                                                                                                |          9 |     84,418 |          0 |        324 |     84,742 |
| TrainingResults\results\AutoInputHandler (Files)                                                                                        |          1 |         78 |          0 |          1 |         79 |
| TrainingResults\results\AutoInputHandler\Boss                                                                                           |          6 |     83,940 |          0 |        323 |     84,263 |
| TrainingResults\results\AutoInputHandler\run_logs                                                                                       |          2 |        400 |          0 |          0 |        400 |
| TrainingResults\results\RandomInputHandler                                                                                              |          9 |     84,689 |          0 |        345 |     85,034 |
| TrainingResults\results\RandomInputHandler (Files)                                                                                      |          1 |         78 |          0 |          1 |         79 |
| TrainingResults\results\RandomInputHandler\Boss                                                                                         |          6 |     84,211 |          0 |        344 |     84,555 |
| TrainingResults\results\RandomInputHandler\run_logs                                                                                     |          2 |        400 |          0 |          0 |        400 |
| TrainingResults\results\fuckthisshit                                                                                                    |          7 |     89,045 |          0 |        333 |     89,378 |
| TrainingResults\results\fuckthisshit (Files)                                                                                            |          1 |        178 |          0 |          1 |        179 |
| TrainingResults\results\fuckthisshit\Boss                                                                                               |          2 |     27,200 |          0 |         80 |     27,280 |
| TrainingResults\results\fuckthisshit\Player                                                                                             |          2 |     61,436 |          0 |        252 |     61,688 |
| TrainingResults\results\fuckthisshit\run_logs                                                                                           |          2 |        231 |          0 |          0 |        231 |
| TrainingResults\results\regulartrainig                                                                                                  |          5 |     10,086 |          0 |         43 |     10,129 |
| TrainingResults\results\regulartrainig (Files)                                                                                          |          1 |         78 |          0 |          1 |         79 |
| TrainingResults\results\regulartrainig\Boss                                                                                             |          2 |      9,812 |          0 |         42 |      9,854 |
| TrainingResults\results\regulartrainig\run_logs                                                                                         |          2 |        196 |          0 |          0 |        196 |
| TrainingYAML                                                                                                                            |          3 |        173 |          0 |          3 |        176 |
| trainingYML                                                                                                                             |         26 |    593,015 |          0 |      2,861 |    595,876 |
| trainingYML\results                                                                                                                     |         26 |    593,015 |          0 |      2,861 |    595,876 |
| trainingYML\results\ppo                                                                                                                 |         26 |    593,015 |          0 |      2,861 |    595,876 |
| trainingYML\results\ppo\Boss                                                                                                            |         26 |    593,015 |          0 |      2,861 |    595,876 |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| filename                                                                                                                                | language                | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| d:\CNG491ERG\EndlessRunnerGame\.idea\.idea.EndlessRunnerGame\.idea\indexLayout.xml                                                      | XML                     |          8 |          0 |          0 |          8 |
| d:\CNG491ERG\EndlessRunnerGame\.idea\.idea.EndlessRunnerGame\.idea\vcs.xml                                                              | XML                     |          6 |          0 |          0 |          6 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\BlackPeaStudios\ScriptDependencyVisualizer\Editor\Utilities\DependencyCore\DependencyAnalytics.cs | C#                      |        119 |          0 |         26 |        145 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\BlackPeaStudios\ScriptDependencyVisualizer\Editor\Utilities\DependencyCore\ScriptData.cs          | C#                      |        189 |          2 |         34 |        225 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\BlackPeaStudios\ScriptDependencyVisualizer\Editor\Utilities\Layout\Edge.cs                        | C#                      |         18 |          0 |          5 |         23 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\BlackPeaStudios\ScriptDependencyVisualizer\Editor\Utilities\Layout\ForceLayoutGraph.cs            | C#                      |         84 |          0 |         17 |        101 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\BlackPeaStudios\ScriptDependencyVisualizer\Editor\Utilities\Layout\Graph.cs                       | C#                      |         34 |          0 |          6 |         40 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\BlackPeaStudios\ScriptDependencyVisualizer\Editor\Utilities\Layout\Node.cs                        | C#                      |         38 |          0 |          7 |         45 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\BlackPeaStudios\ScriptDependencyVisualizer\Editor\WindowScripts\ScriptDependencyWindow.cs         | C#                      |        387 |          4 |         73 |        464 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\BlackPeaStudios\ScriptDependencyVisualizer\Editor\WindowScripts\Serializer.cs                     | C#                      |        132 |          7 |         38 |        177 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\BlackPeaStudios\ScriptDependencyVisualizer\Editor\WindowScripts\WindowUtilities.cs                | C#                      |        408 |          8 |        106 |        522 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\DestroyOnAnimationComplete.cs                                                                     | C#                      |          8 |          1 |          1 |         10 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\GoBackToMainMenu.cs                                                                               | C#                      |         10 |          0 |          2 |         12 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Leaderboard.cs                                                                                    | C#                      |         76 |          2 |          8 |         86 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\BossMode_timers.json                                                             | JSON                    |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\GameScene_timers.json                                                            | JSON                    |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\InitTestScene638482843729007197_timers.json                                      | JSON                    |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\InitTestScene638482844635009260_timers.json                                      | JSON                    |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\InitTestScene638482848068427307_timers.json                                      | JSON                    |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\InitTestScene638482848538494248_timers.json                                      | JSON                    |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\InitTestScene638482849104412390_timers.json                                      | JSON                    |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\InitTestScene638482850557399440_timers.json                                      | JSON                    |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\InitTestScene638482853138672285_timers.json                                      | JSON                    |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\InitTestScene638485027970455592_timers.json                                      | JSON                    |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\InitTestScene638485030476244930_timers.json                                      | JSON                    |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\Main Menu_timers.json                                                            | JSON                    |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\MainMenu_timers.json                                                             | JSON                    |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\ParkourMode_timers.json                                                          | JSON                    |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\Parkour_timers.json                                                              | JSON                    |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\ReplayScene_timers.json                                                          | JSON                    |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\SampleScene_timers.json                                                          | JSON                    |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\TestingScene_BossAndPlayerAgent_timers.json                                      | JSON                    |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\TrainingScene_BossAgentOnly_timers.json                                          | JSON                    |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\TrainingScene_BossAndPlayerAgent_timers.json                                     | JSON                    |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\ML-Agents\Timers\TrainingScene_timers.json                                                        | JSON                    |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleAudio.cs                                           | C#                      |         94 |         80 |         25 |        199 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleEPOOutline.cs                                      | C#                      |        109 |         18 |         20 |        147 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModulePhysics.cs                                         | C#                      |        137 |         60 |         20 |        217 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModulePhysics2D.cs                                       | C#                      |        125 |         51 |         18 |        194 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleSprite.cs                                          | C#                      |         63 |         17 |         14 |         94 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUI.cs                                              | C#                      |        390 |        203 |         70 |        663 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUnityVersion.cs                                    | C#                      |        254 |         99 |         37 |        390 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUtils.cs                                           | C#                      |        123 |         27 |         18 |        168 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\RemainingParkourUI.cs                                                                             | C#                      |         23 |          5 |          7 |         35 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\RetryMode.cs                                                                                      | C#                      |         11 |          0 |          2 |         13 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\ScoreUI.cs                                                                                        | C#                      |         21 |          0 |          2 |         23 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\API\.idea\.idea.API.dir\.idea\indexLayout.xml                                             | XML                     |          8 |          0 |          0 |          8 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\API\.idea\.idea.API.dir\.idea\inspectionProfiles\Project_Default.xml                      | XML                     |          6 |          0 |          0 |          6 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\API\.idea\.idea.API.dir\.idea\vcs.xml                                                     | XML                     |          6 |          0 |          0 |          6 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\API\AIBERG.API.asmdef                                                                     | UnityAssemblyDefinition |         18 |          0 |          0 |         18 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\API\DialogWindow.cs                                                                       | C#                      |         16 |          0 |          2 |         18 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\API\InputRecorder.cs                                                                      | C#                      |         65 |          0 |         10 |         75 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\API\LoginController.cs                                                                    | C#                      |         84 |          5 |         11 |        100 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\API\RegisterController.cs                                                                 | C#                      |         97 |          5 |          8 |        110 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\API\StatCollector.cs                                                                      | C#                      |         92 |          5 |         14 |        111 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\API\UserInformation.cs                                                                    | C#                      |        123 |          1 |         18 |        142 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\BossAbilities\AIBERG.BossAbilities.asmdef                                                 | UnityAssemblyDefinition |         18 |          0 |          0 |         18 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\BossAbilities\AttackDrone.cs                                                              | C#                      |         92 |          0 |         15 |        107 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\BossAbilities\BasicAttack.cs                                                              | C#                      |         59 |          1 |         11 |         71 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\BossAbilities\MoveDown.cs                                                                 | C#                      |         44 |          0 |          8 |         52 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\BossAbilities\MoveUp.cs                                                                   | C#                      |         45 |          0 |          8 |         53 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\BossAbilities\SpawnAttackDrones.cs                                                        | C#                      |        100 |          0 |         15 |        115 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\BossMode\BossModeBaseState.cs                                                             | C#                      |          7 |          0 |          2 |          9 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\BossMode\BossModeBossFightState.cs                                                        | C#                      |         49 |          0 |          9 |         58 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\BossMode\BossModeDeathState.cs                                                            | C#                      |         76 |          0 |          6 |         82 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\BossMode\BossModeGameOverState.cs                                                         | C#                      |         84 |          0 |          8 |         92 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\BossMode\BossModeInitialState.cs                                                          | C#                      |         58 |          0 |          3 |         61 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\BossMode\BossModeStateManager.cs                                                          | C#                      |         41 |          0 |          4 |         45 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\.idea\.idea.Core.dir\.idea\indexLayout.xml                                           | XML                     |          8 |          0 |          0 |          8 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\.idea\.idea.Core.dir\.idea\projectSettingsUpdater.xml                                | XML                     |          6 |          0 |          0 |          6 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\.idea\.idea.Core.dir\.idea\vcs.xml                                                   | XML                     |          6 |          0 |          0 |          6 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\.idea\.idea.Core.dir\.idea\workspace.xml                                             | XML                     |         87 |          0 |          0 |         87 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\AIBERG.Core.asmdef                                                                   | UnityAssemblyDefinition |         19 |          0 |          0 |         19 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\Boss.cs                                                                              | C#                      |         88 |          0 |         13 |        101 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\BossAgent.cs                                                                         | C#                      |        108 |          1 |         18 |        127 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\DamagingProjectile.cs                                                                | C#                      |         42 |          1 |          6 |         49 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\Despawner.cs                                                                         | C#                      |         18 |          0 |          4 |         22 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\GameEnvironment.cs                                                                   | C#                      |        139 |          0 |         19 |        158 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\InputHandlers\InputHandler.cs                                                        | C#                      |         21 |          0 |          4 |         25 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\InputHandlers\InputReplayer.cs                                                       | C#                      |         62 |          2 |          8 |         72 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\InputHandlers\PlayerAutoInputHandler.cs                                              | C#                      |        218 |         35 |         30 |        283 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\InputHandlers\PlayerInputHandler.cs                                                  | C#                      |         17 |          0 |          1 |         18 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\InputHandlers\RandomInputHandler.cs                                                  | C#                      |         11 |          0 |          2 |         13 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\InputHandlers\ReplayManager.cs                                                       | C#                      |         94 |          2 |         12 |        108 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\InputHandlers\StoopidInputHandler.cs                                                 | C#                      |         29 |          2 |          7 |         38 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\ParallaxController.cs                                                                | C#                      |         43 |          4 |          8 |         55 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\Player.cs                                                                            | C#                      |        139 |          0 |         17 |        156 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\PlayerAgent.cs                                                                       | C#                      |        102 |          0 |         16 |        118 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\ScoreCounter.cs                                                                      | C#                      |         25 |          0 |          4 |         29 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Core\TestMatchManager.cs                                                                  | C#                      |         54 |          1 |          7 |         62 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Factions\The Order of the Flesh\AIBERG.Factions.TheOrderOfTheFlesh.asmdef                 | UnityAssemblyDefinition |         18 |          0 |          0 |         18 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Factions\The Order of the Flesh\AssaultRifle.cs                                           | C#                      |         82 |          1 |         14 |         97 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Factions\The Order of the Flesh\Jump.cs                                                   | C#                      |         62 |          0 |          8 |         70 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Factions\The Order of the Flesh\LastResort.cs                                             | C#                      |         82 |          1 |         11 |         94 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Factions\The Order of the Flesh\MachineGun.cs                                             | C#                      |         95 |          1 |          9 |        105 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Interfaces\AIBERG.Interfaces.asmdef                                                       | UnityAssemblyDefinition |         14 |          0 |          0 |         14 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Interfaces\IAbility.cs                                                                    | C#                      |         23 |          0 |          5 |         28 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Interfaces\IAttackAbility.cs                                                              | C#                      |          7 |          0 |          2 |          9 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Interfaces\IDamageable.cs                                                                 | C#                      |         33 |          0 |          4 |         37 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\ParkourMode\Obstacle.cs                                                                   | C#                      |         25 |          0 |          3 |         28 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\ParkourMode\ObstacleSpawner.cs                                                            | C#                      |         79 |          3 |         13 |         95 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\ParkourMode\StateMachine\BaseState.cs                                                     | C#                      |         11 |          0 |          2 |         13 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\ParkourMode\StateMachine\BossFightState.cs                                                | C#                      |         34 |          0 |          7 |         41 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\ParkourMode\StateMachine\BossFightToParkourState.cs                                       | C#                      |         46 |          0 |          7 |         53 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\ParkourMode\StateMachine\GameOverState.cs                                                 | C#                      |         76 |          0 |          5 |         81 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\ParkourMode\StateMachine\GameStateMachineScript.cs                                        | C#                      |         46 |          1 |          6 |         53 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\ParkourMode\StateMachine\InitialState.cs                                                  | C#                      |         46 |          0 |          3 |         49 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\ParkourMode\StateMachine\ParkourState.cs                                                  | C#                      |         44 |          0 |          5 |         49 |
